Fecha;Usuarios;Ingresos
1/02/2021;2872;6977
2/02/2021;3398;1197
3/02/2021;3192;469
4/02/2021;3044;7651,36
5/02/2021;2979;24944,8
6/02/2021;2865;4212,28
7/02/2021;2565;3649
8/02/2021;3308;19234,86
9/02/2021;3235;8150
10/02/2021;2915;1850
11/02/2021;2941;6551,05
12/02/2021;2520;0
13/02/2021;2776;1995,43
14/02/2021;3093;1596,35
15/02/2021;3460;0
16/02/2021;3717;0
17/02/2021;3623;0
18/02/2021;3823;2182,93
19/02/2021;3342;0
20/02/2021;3228;0
21/02/2021;3410;0
22/02/2021;3568;3846,74
23/02/2021;3571;1596
24/02/2021;3448;8546
25/02/2021;3293;14217,2
26/02/2021;2987;9680,59
27/02/2021;2885;10233
28/02/2021;3210;1950
